НП СОРП "Хотьковский",176
ИП Амаева Сайдат Магометовна,219
ЗАО "МПО КЛАССИКА",192
ООО РА "Аллегра",242
ООО "РССК",249
ООО"Артист",53
ООО "Геринк Альянс",93
ООО "Дигора",150
ЗАО "Инновационный центр новых горных технологий ИГД им. А.А,77
ООО "ЛИДЕР",96
ИП Петров Игорь Леонидович,157
ООО "УМ №111",169
ООО "Архитектурно-строительный комплекс",129
ООО "СК "КиР",178
ООО "Агро-Элеватор",205
ООО "АРТэк",105
ООО "ПрофСнаб",215
ЗАО "Чалленжеринвест",223
ООО "ТВТ стройинвест",231
«Гранд Инвест Банк» (ОАО),256
«Гранд Инвест Банк» (ОАО),255
ООО "БАКС-ГРУПП",199
ООО "Дресс",221
ООО "Национальный оператор социальных счетов",237
Татулов Константин Георгиевич,112
ООО "Морган Паблишерз",158
ООО "Луксима",238
ООО "Древпром",178
ООО "АГРОРОСЭКСПОРТ",159
ИП Хохлова Евгения Михайловна,95
ООО "ТД "Роспласт",243
ООО "СтройИнвест",244
ООО "Диагем",245
ООО "Север+",246
ООО "БПК",247
ООО "ФРУТЕКС",57
ООО "ХимАгроТара",66
ДЖИ ЭЛ КА ИНВЕСТМЕНТС ЛИМИТЕД,131
ООО "ВСК-Ипотека",64
ООО "Промснаб",88
ООО "Пролог",71
ООО "Эксимтранс",101
ООО "СК "ЭНИОН",134
ООО "Архангеловское",146
ООО "М-Гифтс",196
ОАО ИОЗ "Углемаш",207
ООО "Феррум Про",72
Индивидуальный предприниматель Шешенина Екатерина Николаевна,239
ООО "Региональный Страховой Центр",241
ООО "ДЕЛОВОЙ ЭТАЛОН",233
ООО "Фирма Промэкология",229
ООО "Промриэлт",144
ООО "Фаворит",114
ООО КА "Бутик Идей",126
ООО "Глория",173
ООО "Геоизыскания",174
ООО "НБД",182
ООО "СК "Дальпитерстрой",186
ООО "Автотранс",216
ООО "Мальдивиана",224
ООО "МЕЧЕСК",145
ООО "РЕГИОНПРОМСТРОЙ",148
ОАО "Мосшахтострой",206
Компания "МЕДЕСОЙЛ ТРЕЙДИНГ ЛИМИТЕД",228
ООО "НПП ТЕПЛОХИМ",59
ИП Рубцов Николай Игоревич,93
ООО УК "ДОМСЕРВИСКОМ",155
ООО ТД "Парадигма",175
ООО "Партнер Инвест",10
ИП Гуржина Оксана Александровна,104
ООО "АТЭМП",113
ООО "Инпромстрой",118
ООО "ГЕО",165
ИП Квернадзе Анжелика Тенгизовна,170
ООО "ОПТИМА",250
«Гранд Инвест Банк» (ОАО),15
«Гранд Инвест Банк» (ОАО),227
ООО "ПРЕСТИЖ",26
ООО "ПРЕСТИЖ",32
ООО "Моулд Хаус",32
ООО "Моулд Хаус",32
ООО "Моулд Хаус",40
ООО "Моулд Хаус",47
ООО "Моулд Хаус",47
ООО "Форсаж-Инструмент",41
ООО "Форсаж-Инструмент",0
ООО "Мангазея Центр",0
ООО "ЮНИТИ",0
ООО "ЮНИТИ",0
ООО "Бочёнок-2",0
Индивидуальный предприниматель Овсепян Артем Павлович,0
ООО "Юнифиш Процессинг",246
ООО "ФОРТЕСТРОЙ",99
ООО "Горн",97
ООО "СпецСтрой",98
ИП Леванковский Игорь Анатольевич,100
Филиал общества с ограниченной ответственностью "Региональны,81
ООО "СТАНДАРТ",75
ООО "ИМПЕРИЯ ГРУПП МО",72
ООО "АРСИКА",88
ООО "Дубль-В",74
ЗАО "МЕГАСПЕЦСТРОЙ",80
ООО "ЗАРЯ инвест",73
Индивидуальный предприниматель Овсепян Артем Павлович,87
Индивидуальный предприниматель Овсепян Артем Павлович,87
ООО "Апогей",82
ИП Калашников Андрей Сергеевич,85
ООО "ДИАМАНД-недвижимость",86
ООО УК "ДОМСЕРВИСКОМ",63
